Game,CF% Before,SCF% Before,SH% Before,SV% Before,PDO Before,Game,CF% After,SCF% After,SH% After,SV% After,PDO After
"2021-03-06 - Maple Leafs 2, Canucks 4",42.48,41.51,8.0,94.59,1.026,"2021-04-18 - Maple Leafs 2, Canucks 3",35.87,33.33,12.5,96.77,1.093
"2021-03-08 - Canadiens 1, Canucks 2",39.58,40.0,0.0,100.0,1.0,"2021-04-20 - Maple Leafs 3, Canucks 6",50.53,45.83,16.0,96.97,1.13
"2021-03-10 - Canadiens 5, Canucks 1",34.69,24.0,0.0,89.19,0.892,"2021-04-22 - Senators 3, Canucks 0",59.26,55.0,0.0,100.0,1.0
"2021-03-13 - Oilers 1, Canucks 2",46.81,41.03,5.0,100.0,1.05,"2021-04-24 - Senators 2, Canucks 4",42.53,32.43,8.7,88.89,0.976
"2021-03-15 - Canucks 3, Senators 2",40.35,40.32,7.69,97.62,1.053,"2021-04-26 - Canucks 1, Senators 2",44.05,30.0,4.55,91.67,0.962
"2021-03-17 - Canucks 3, Senators 2",38.68,37.5,7.69,92.31,1.0,"2021-04-28 - Canucks 3, Senators 6",40.22,28.95,16.67,81.48,0.981
"2021-03-19 - Canucks 3, Canadiens 2",46.15,42.86,8.0,100.0,1.08,"2021-04-29 - Canucks 1, Maple Leafs 4",42.55,40.0,0.0,83.33,0.833
"2021-03-20 - Canucks 4, Canadiens 5",32.04,22.92,23.08,91.18,1.143,"2021-05-01 - Canucks 1, Maple Leafs 5",52.27,48.98,4.35,86.21,0.906
"2021-03-22 - Jets 4, Canucks 0",47.79,42.86,0.0,85.71,0.857,"2021-05-03 - Oilers 5, Canucks 3",40.2,37.25,10.0,87.1,0.971
"2021-03-24 - Jets 5, Canucks 1",62.11,62.22,3.13,91.3,0.944,"2021-05-04 - Oilers 4, Canucks 1",48.28,42.86,4.55,90.48,0.95
