Game,Canucks CF% Before,Canucks SCF% Before,Canucks SH% Before,Canucks SV% Before,Canucks PDO Before,Game,Canucks CF% After,Canucks SCF% After,Canucks SH% After,Canucks SV% After,Canucks PDO After,Game,Sabres CF% Before,Sabres SCF% Before,Sabres SH% Before,Sabres SV% Before,Sabres PDO Before,Game,Sabres CF% After,Sabres SCF% After,Sabres SH% After,Sabres SV% After,Sabres PDO After
"2021-03-06 - Maple Leafs 2, Canucks 4",42.48,41.51,8.0,94.59,1.026,"2021-04-18 - Maple Leafs 2, Canucks 3",35.87,33.33,12.5,96.77,1.093,"2021-01-14 - Capitals 6, Sabres 4",51.47,55.17,10.53,80.95,0.915,"2021-02-15 - Islanders 3, Sabres 1",44.05,37.93,0.0,92.0,0.92
"2021-03-08 - Canadiens 1, Canucks 2",39.58,40.0,0.0,100.0,1.0,"2021-04-20 - Maple Leafs 3, Canucks 6",50.53,45.83,16.0,96.97,1.13,"2021-01-15 - Capitals 2, Sabres 1",51.43,55.56,4.55,90.48,0.95,"2021-02-16 - Islanders 3, Sabres 0",57.14,54.76,0.0,89.47,0.895
"2021-03-10 - Canadiens 5, Canucks 1",34.69,24.0,0.0,89.19,0.892,"2021-04-22 - Senators 3, Canucks 0",59.26,55.0,0.0,100.0,1.0,"2021-01-18 - Sabres 6, Flyers 1",49.0,54.55,12.9,95.24,1.081,"2021-02-18 - Sabres 1, Capitals 3",48.78,44.74,0.0,94.12,0.941
"2021-03-13 - Oilers 1, Canucks 2",46.81,41.03,5.0,100.0,1.05,"2021-04-24 - Senators 2, Canucks 4",42.53,32.43,8.7,88.89,0.976,"2021-01-19 - Sabres 0, Flyers 3",59.38,58.14,0.0,91.67,0.917,"2021-02-20 - Sabres 3, Devils 2",50.0,52.63,7.41,95.45,1.029
"2021-03-15 - Canucks 3, Senators 2",40.35,40.32,7.69,97.62,1.053,"2021-04-26 - Canucks 1, Senators 2",44.05,30.0,4.55,91.67,0.962,"2021-01-22 - Sabres 3, Capitals 4",53.85,61.29,13.64,88.0,1.016,"2021-02-22 - Sabres 2, Islanders 3",48.19,44.68,4.35,90.48,0.948
"2021-03-17 - Canucks 3, Senators 2",38.68,37.5,7.69,92.31,1.0,"2021-04-28 - Canucks 3, Senators 6",40.22,28.95,16.67,81.48,0.981,"2021-01-24 - Sabres 4, Capitals 3",56.18,42.86,0.0,94.74,0.947,"2021-02-23 - Sabres 4, Devils 1",47.12,53.06,6.25,100.0,1.063
"2021-03-19 - Canucks 3, Canadiens 2",46.15,42.86,8.0,100.0,1.08,"2021-04-29 - Canucks 1, Maple Leafs 4",42.55,40.0,0.0,83.33,0.833,"2021-01-26 - Rangers 2, Sabres 3",50.79,63.33,6.67,91.3,0.98,"2021-02-25 - Devils 4, Sabres 3",40.45,26.67,4.35,93.94,0.983
"2021-03-20 - Canucks 4, Canadiens 5",32.04,22.92,23.08,91.18,1.143,"2021-05-01 - Canucks 1, Maple Leafs 5",52.27,48.98,4.35,86.21,0.906,"2021-01-28 - Rangers 3, Sabres 2",41.67,37.04,5.0,96.15,1.012,"2021-02-27 - Flyers 3, Sabres 0",45.98,50.0,0.0,90.32,0.903
"2021-03-22 - Jets 4, Canucks 0",47.79,42.86,0.0,85.71,0.857,"2021-05-03 - Oilers 5, Canucks 3",40.2,37.25,10.0,87.1,0.971,"2021-01-30 - Devils 3, Sabres 4",49.32,51.72,10.0,90.48,1.005,"2021-02-28 - Flyers 3, Sabres 0",44.3,40.0,0.0,90.32,0.903
"2021-03-24 - Jets 5, Canucks 1",62.11,62.22,3.13,91.3,0.944,"2021-05-04 - Oilers 4, Canucks 1",48.28,42.86,4.55,90.48,0.95,"2021-01-31 - Devils 5, Sabres 3",43.75,36.36,4.35,88.24,0.926,"2021-03-02 - Sabres 2, Rangers 3",63.22,60.0,10.53,82.35,0.929
